year month day hour minute second lst_hours obs_ra_deg obs_dec_deg lat_deg lon_deg elevation_m total_offset_roll total_offset_pitch predicted_roll_offset predicted_pitch_offset residual_ra residual_dec roll_hours pitch_deg ch ih mah meh nP tfh phh id mad med tfd pdd
2026 6 24 21 53 58 5.686655449798137 57.33381902554296 1.3425386663853462 20.7081 -156.2567 3048.0 0.010279444366041973 -0.014383210144990959 0.010226432234048843 -0.014326773583889008 5.301213199312982e-05 -5.6436561101951346e-05 1.8644008480952734 1.3425386663853462 4.849468039499658e-05 7.27220521664304e-05 -3.5123548149253846e-06 -2.3977034956905127e-06 -9.089678376983782e-07 5.318058938750649e-05 1.1831853662394446e-05 -9.69627362219072e-05 7.957329541592824e-05 -0.00019269000500595697 -4.050052748605372e-05 -4.544007383535477e-07
2026 6 24 22 10 1 5.954887844676936 82.87252229480757 61.942897481989355 20.7081 -156.2567 3048.0 -0.013149339513267255 -0.01354424279572844 -0.013456753455102444 -0.013875402510166168 0.00030741394183518914 0.00033115971443772874 0.4300530250230983 61.942897481989355 0.00010307480436273935 7.27220521664304e-05 -0.00031634916088247846 -4.5987761630269796e-05 -7.276910219265185e-05 2.708069831433641e-05 2.729200892791771e-06 -9.69627362219072e-05 1.906407066993667e-05 -0.00021678488247478978 7.925734500186191e-05 -2.0965428450084673e-05
2026 6 24 22 21 15 6.142622667312869 116.05807829481876 -27.39261788309078 20.7081 -156.2567 3048.0 0.006879812583100189 -0.025304873689492975 0.0062870727851986885 -0.025345968082547188 0.0005927397979015002 4.109439305421264e-05 -1.5945825523417145 -27.39261788309078 5.460384184579766e-05 7.27220521664304e-05 8.037732878086156e-05 -4.5835435243195696e-05 2.0097944020797288e-05 -5.1770816268556166e-05 -1.0119533806900777e-05 -9.69627362219072e-05 -6.879709682967949e-05 -0.00019943035391827292 -8.573458524724519e-05 9.271409534167071e-06
2026 6 24 22 25 48 6.21866362664192 114.659489408867 -26.46835787034899 20.7081 -156.2567 3048.0 0.00745131597856972 -0.025120449771915937 0.007013545371592045 -0.025083811953663826 0.00043777060697767524 -3.663781825211099e-05 -1.4253023339492135 -26.46835787034899 5.4158195379548415e-05 7.27220521664304e-05 7.867101609953548e-05 -3.9597972618708446e-05 1.9310798187286645e-05 -4.6168843461096285e-05 -9.045248320491315e-06 -9.69627362219072e-05 -6.18576063148966e-05 -0.00020315328886528325 -8.541950767799015e-05 8.958580978285478e-06
2026 6 24 22 53 8 6.675466459389733 161.3668150521458 54.04255252353309 20.7081 -156.2567 3048.0 0.0033078293791662704 -0.02005294721584438 0.002862868830561638 -0.020092230290174484 0.00044496054860463253 3.928307433010564e-05 -4.08232121075332 54.04255252353309 8.256585264616226e-05 7.27220521664304e-05 -0.00011256540632500655 0.00026363671649681455 -5.346656207703946e-05 -0.00016925292760587178 -2.590721154083809e-05 -9.69627362219072e-05 -0.0001487455626256016 -0.00010498614930771593 1.8995942186117296e-05 -1.829144767600703e-05
2026 6 24 23 18 3 7.091881237024323 117.30102828124424 -42.76121107654183 20.7081 -156.2567 3048.0 0.014701291358022709 -0.02497533897315267 0.014475957490503788 -0.025029173120856285 0.00022533386751892072 5.383414770361583e-05 -0.7281873150586264 -42.76121107654183 6.603384630410001e-05 7.27220521664304e-05 0.00015407378747909025 -3.82288524396931e-05 3.586664905499785e-05 -2.9260324467553832e-05 -4.621219604886872e-06 -9.69627362219072e-05 -3.215295128530811e-05 -0.00021421371770787365 -0.00010704561365151925 1.4473121983434438e-05
2026 6 24 23 26 54 7.2397850811716316 48.94358255488566 25.64587631010055 20.7081 -156.2567 3048.0 0.006308191086833636 -0.004771458713614004 0.006302325055003166 -0.0047140540555119514 5.866031830469888e-06 -5.74046581020525e-05 3.976879577512588 25.64587631010055 5.377937496436019e-05 7.27220521664304e-05 -4.1159519722331825e-05 -9.039107167284224e-05 -1.862090210742692e-05 0.00010853071243817645 2.5238058243840423e-05 -9.69627362219072e-05 0.0001464351049566797 -0.00011022469473894718 -1.3845137927194099e-05 -8.680200744168784e-06
2026 6 25 0 12 22 7.9996375996674125 91.34576953181687 76.3099982157091 20.7081 -156.2567 3048.0 -0.03899469165133425 -0.00838644177991142 -0.03815160319209099 -0.008510650135576725 -0.0008430884592432603 0.00012420835566530515 1.909919630879621 76.3099982157091 0.00020484917307772826 7.27220521664304e-05 -0.0006113215819027424 -0.00042940161782448427 -0.00015922359756110382 0.0002296690871376418 1.212072479080277e-05 -9.69627362219072e-05 8.13535723992117e-05 -0.0001914571629570614 8.652347714948636e-05 -2.582817195599738e-05
2026 6 25 0 20 50 8.141135063115184 133.85158010158955 12.348122131275968 20.7081 -156.2567 3048.0 0.003359579236650024 -0.021049754387207787 0.003765385365113616 -0.021068911999464035 -0.00040580612846359207 1.9157612256247986e-05 -0.782303610324119 12.348122131275968 4.962948125270685e-05 7.27220521664304e-05 -3.6370234835773276e-05 9.713303211964688e-06 -8.490648239204987e-06 -2.3603582160218823e-05 -4.9646522347241634e-06 -9.69627362219072e-05 -3.4510120963198354e-05 -0.00021360655687604563 -1.812871439525669e-05 -4.179392336489376e-06
2026 6 25 0 28 5 8.26229922966974 89.75343042210437 19.58939271982122 20.7081 -156.2567 3048.0 0.0056650081173154655 -0.011326009900827032 0.00580185791477561 -0.011535938829183578 -0.00013684979746014445 0.000209928928356546 2.278737201529448 19.58939271982122 5.145989025895063e-05 7.27220521664304e-05 -4.995583576988064e-05 -4.361890273841562e-05 -1.380266064909989e-05 6.760718705841926e-05 1.4461313472955946e-05 -9.69627362219072e-05 9.533059644161613e-05 -0.0001804815208015362 -8.932203006080366e-06 -6.630300295000527e-06
